iter	Passed	Remaining
306	872	2122
307	875	2119
308	879	2119
309	882	2118
310	885	2115
311	888	2112
312	890	2109
313	893	2105
314	896	2102
315	898	2099
316	901	2096
317	904	2093
318	906	2089
319	910	2088
320	912	2084
321	916	2082
322	919	2081
323	922	2078
324	925	2074
325	927	2071
326	931	2070
327	934	2067
328	937	2064
329	939	2062
330	942	2059
331	945	2056
332	948	2053
333	951	2051
334	954	2048
335	957	2045
336	960	2042
337	962	2039
338	966	2038
339	968	2034
340	972	2033
341	975	2030
342	978	2028
343	981	2024
344	983	2022
345	987	2021
346	990	2018
347	993	2015
348	996	2013
349	999	2011
350	1003	2008
351	1005	2006
352	1008	2003
353	1011	2000
354	1014	1997
355	1017	1994
356	1019	1990
357	1022	1988
358	1025	1985
359	1028	1982
360	1031	1979
361	1033	1975
362	1036	1972
363	1038	1969
364	1041	1965
365	1044	1962
366	1046	1959
367	1049	1957
368	1052	1954
369	1055	1951
370	1058	1948
371	1061	1945
372	1064	1942
373	1067	1940
374	1069	1936
375	1072	1933
376	1075	1930
377	1078	1928
378	1080	1925
379	1083	1922
380	1087	1920
381	1090	1917
382	1093	1915
383	1095	1911
384	1099	1910
385	1102	1907
386	1104	1904
387	1107	1901
388	1110	1898
389	1112	1894
390	1116	1893
391	1119	1890
392	1121	1886
393	1124	1884
394	1127	1881
395	1130	1878
396	1132	1874
397	1135	1872
398	1138	1868
399	1141	1866
400	1144	1864
401	1147	1861
402	1150	1858
403	1154	1857
404	1157	1854
405	1159	1850
406	1162	1848
407	1165	1845
408	1168	1842
409	1171	1839
410	1174	1836
411	1176	1833
412	1179	1831
413	1182	1828
414	1185	1825
415	1188	1822
416	1192	1821
417	1194	1817
418	1197	1814
419	1200	1811
420	1204	1810
421	1206	1807
422	1209	1804
423	1212	1800
424	1214	1798
425	1217	1795
426	1220	1791
427	1223	1789
428	1226	1786
429	1229	1784
430	1232	1781
431	1235	1778
432	1237	1775
433	1240	1771
434	1243	1769
435	1246	1766
436	1248	1763
437	1251	1759
438	1255	1758
439	1257	1754
440	1261	1753
441	1265	1752
442	1268	1749
443	1271	1746
444	1274	1743
445	1277	1741
446	1280	1738
447	1283	1736
448	1286	1733
449	1289	1731
450	1293	1729
451	1297	1727
452	1299	1724
453	1303	1722
454	1306	1719
455	1309	1716
456	1312	1714
457	1314	1711
458	1317	1708
459	1320	1704
460	1323	1701
461	1327	1700
462	1330	1697
463	1332	1694
464	1335	1691
465	1338	1688
466	1341	1685
467	1344	1682
468	1348	1681
469	1350	1678
470	1353	1675
471	1356	1672
472	1359	1670
473	1362	1667
474	1365	1664
475	1368	1661
476	1371	1658
477	1373	1655
478	1376	1652
479	1379	1649
480	1381	1646
481	1384	1643
482	1387	1640
483	1390	1637
484	1393	1635
485	1397	1632
486	1399	1629
487	1402	1626
488	1405	1623
489	1408	1621
490	1411	1618
491	1413	1614
492	1416	1612
493	1420	1609
494	1422	1606
495	1425	1603
496	1428	1601
497	1432	1599
498	1435	1596
499	1438	1593
500	1442	1591
501	1444	1588
502	1447	1585
503	1451	1584
504	1454	1581
505	1458	1579
506	1461	1576
507	1465	1575
508	1468	1572
509	1471	1569
510	1474	1566
511	1477	1563
512	1480	1561
513	1483	1558
514	1485	1555
515	1488	1552
516	1492	1550
517	1495	1547
518	1498	1544
519	1502	1542
520	1505	1539
521	1508	1537
522	1511	1534
523	1514	1531
524	1517	1528
525	1519	1525
526	1522	1522
527	1526	1520
528	1528	1517
529	1532	1515
530	1535	1512
531	1538	1509
532	1541	1506
533	1543	1503
534	1546	1500
535	1549	1497
536	1552	1494
537	1555	1491
538	1558	1488
539	1561	1486
540	1564	1483
541	1566	1480
542	1569	1477
543	1572	1474
544	1575	1471
545	1577	1467
546	1580	1464
547	1582	1461
548	1586	1459
549	1589	1456
550	1592	1453
551	1595	1451
552	1598	1448
553	1601	1445
554	1604	1442
555	1607	1439
556	1610	1436
557	1612	1433
558	1615	1430
559	1618	1427
560	1621	1424
561	1623	1421
562	1626	1418
563	1629	1415
564	1632	1412
565	1635	1409
566	1637	1406
567	1640	1403
568	1643	1401
569	1647	1398
570	1649	1395
571	1653	1392
572	1655	1390
573	1659	1387
574	1662	1384
575	1665	1381
576	1667	1378
577	1670	1375
578	1673	1372
579	1677	1370
580	1679	1367
581	1682	1364
582	1684	1361
583	1688	1358
584	1690	1355
585	1693	1352
586	1696	1349
587	1699	1346
588	1701	1343
589	1704	1340
590	1707	1337
591	1710	1334
592	1714	1332
593	1716	1329
594	1719	1326
595	1722	1323
596	1724	1320
597	1727	1317
598	1729	1314
599	1732	1310
600	1735	1307
601	1737	1304
602	1740	1302
603	1743	1299
604	1746	1296
605	1750	1293
606	1752	1290
607	1756	1288
608	1759	1285
609	1761	1282
610	1764	1279
611	1767	1276
612	1770	1273
613	1773	1271
614	1776	1268
615	1779	1265
616	1782	1262
617	1784	1259
618	1787	1256
619	1790	1253
620	1793	1250
621	1795	1247
622	1798	1244
623	1801	1241
624	1803	1238
625	1806	1235
626	1809	1232
627	1812	1229
628	1815	1226
629	1818	1223
630	1821	1220
631	1824	1217
632	1826	1214
633	1829	1211
634	1832	1208
635	1835	1206
636	1837	1203
637	1840	1200
638	1844	1197
639	1848	1195
640	1851	1192
641	1854	1189
642	1857	1187
643	1859	1184
644	1862	1181
645	1865	1178
646	1868	1175
647	1871	1172
648	1873	1169
649	1876	1166
650	1879	1163
651	1882	1160
652	1885	1157
653	1887	1154
654	1890	1151
655	1893	1148
656	1896	1145
657	1899	1143
658	1902	1140
659	1904	1137
660	1907	1134
661	1910	1131
662	1913	1128
663	1916	1125
664	1918	1122
665	1921	1119
666	1924	1116
667	1928	1114
668	1930	1111
669	1933	1108
670	1936	1105
671	1939	1102
672	1942	1099
673	1945	1096
674	1947	1093
675	1950	1090
676	1953	1087
677	1957	1085
678	1959	1082
679	1962	1079
680	1964	1076
681	1967	1073
682	1970	1070
683	1973	1067
684	1976	1064
685	1979	1061
686	1982	1058
687	1984	1055
688	1987	1052
689	1990	1049
690	1992	1046
691	1995	1044
692	1998	1041
693	2001	1038
694	2004	1035
695	2006	1032
696	2009	1029
697	2012	1026
698	2014	1023
699	2017	1020
700	2020	1017
701	2022	1014
702	2025	1011
703	2028	1008
704	2031	1005
705	2034	1002
706	2037	999
707	2040	997
708	2042	994
709	2045	991
710	2048	988
711	2051	985
712	2055	983
713	2058	980
714	2060	977
715	2063	974
716	2066	971
717	2069	968
718	2072	965
719	2075	962
720	2078	959
721	2081	957
722	2085	954
723	2088	951
724	2092	949
725	2095	946
726	2098	944
727	2101	941
728	2104	938
729	2108	935
730	2110	932
731	2113	929
732	2116	926
733	2119	924
734	2123	921
735	2126	918
736	2130	916
737	2132	913
738	2135	910
739	2139	907
740	2142	904
741	2145	902
742	2147	899
743	2150	896
744	2153	893
745	2156	890
746	2159	887
747	2162	884
748	2165	881
749	2167	878
750	2170	875
751	2173	872
752	2176	870
753	2179	867
754	2182	864
755	2185	861
756	2188	858
757	2190	855
758	2193	852
759	2196	849
760	2200	847
761	2202	844
762	2206	841
763	2209	838
764	2212	835
765	2215	832
766	2217	829
767	2222	827
768	2224	824
769	2227	821
770	2231	819
771	2234	816
772	2238	813
773	2241	810
774	2244	807
775	2246	804
776	2250	802
777	2253	799
778	2256	796
779	2259	793
780	2262	790
781	2265	787
782	2268	785
783	2271	782
784	2273	779
785	2276	776
786	2279	773
787	2281	770
788	2285	767
789	2287	764
790	2290	761
791	2292	758
792	2295	755
793	2299	752
794	2301	749
795	2305	747
796	2307	744
797	2311	741
798	2314	738
799	2317	735
800	2320	732
801	2323	729
802	2326	727
803	2329	724
804	2333	721
805	2336	718
806	2338	715
807	2341	712
808	2344	710
809	2347	707
810	2349	704
811	2352	701
812	2355	698
813	2358	695
814	2361	692
815	2364	689
816	2366	686
817	2369	683
818	2372	680
819	2375	678
820	2378	675
821	2382	672
822	2384	669
823	2387	666
824	2390	663
825	2393	660
826	2395	657
827	2398	654
828	2401	651
829	2404	648
830	2406	645
831	2409	642
832	2412	640
833	2414	636
834	2417	634
835	2421	631
836	2424	628
837	2427	625
838	2430	622
839	2433	619
840	2436	617
841	2439	614
842	2441	611
843	2444	608
844	2447	605
845	2450	602
846	2453	599
847	2456	596
848	2459	593
849	2461	590
850	2464	587
851	2467	584
852	2469	581
853	2473	579
854	2476	576
855	2479	573
856	2482	570
857	2486	567
858	2488	564
859	2491	562
860	2495	559
861	2498	556
862	2502	553
863	2504	550
864	2507	547
865	2510	545
866	2514	542
867	2517	539
868	2519	536
869	2523	533
870	2527	531
871	2530	528
872	2533	525
873	2538	522
874	2541	519
875	2544	516
876	2547	514
877	2549	511
878	2553	508
879	2555	505
880	2558	502
881	2560	499
882	2564	496
883	2566	493
884	2569	490
885	2573	487
886	2575	484
887	2579	482
888	2582	479
889	2584	476
890	2587	473
891	2590	470
892	2592	467
893	2595	464
894	2598	461
895	2601	458
896	2604	455
897	2606	452
898	2609	449
899	2612	447
900	2615	444
901	2619	441
902	2622	438
903	2625	435
904	2628	432
905	2630	429
906	2634	426
907	2637	424
908	2640	421
909	2642	418
910	2645	415
911	2648	412
912	2651	409
913	2654	406
914	2657	403
915	2660	400
916	2663	397
917	2666	395
918	2669	392
919	2672	389
920	2675	386
921	2677	383
922	2680	380
923	2683	377
924	2685	374
925	2688	371
926	2691	368
927	2694	365
928	2697	362
929	2699	359
930	2703	357
931	2705	354
932	2708	351
933	2712	348
934	2715	345
935	2717	342
936	2721	339
937	2723	336
938	2726	333
939	2729	331
940	2732	328
941	2735	325
942	2738	322
943	2740	319
944	2743	316
945	2746	313
946	2749	310
947	2752	307
948	2755	304
949	2759	302
950	2762	299
951	2764	296
952	2767	293
953	2770	290
954	2772	287
955	2776	284
956	2778	281
957	2781	278
958	2784	275
959	2787	272
960	2789	269
961	2792	267
962	2795	264
963	2798	261
964	2802	258
965	2804	255
966	2809	252
967	2811	249
968	2814	246
969	2817	243
970	2820	241
971	2823	238
972	2826	235
973	2828	232
974	2831	229
975	2834	226
976	2837	223
977	2840	220
978	2843	217
979	2846	214
980	2848	211
981	2852	209
982	2854	206
983	2857	203
984	2861	200
985	2864	197
986	2868	194
987	2872	191
988	2874	188
989	2878	186
990	2881	183
991	2884	180
992	2887	177
993	2890	174
994	2893	171
995	2895	168
996	2898	165
997	2901	162
998	2904	159
999	2907	156
1000	2910	154
1001	2913	151
1002	2915	148
1003	2918	145
1004	2921	142
1005	2924	139
1006	2927	136
1007	2930	133
1008	2934	130
1009	2937	127
1010	2941	125
1011	2944	122
1012	2946	119
1013	2949	116
1014	2952	113
