iter	Logloss
0	0.6654947399
1	0.6150161634
2	0.5541294873
3	0.5136268471
4	0.4987753953
5	0.48703035
6	0.4797480529
7	0.4719588745
8	0.4675162876
9	0.4575734844
10	0.4493798403
11	0.433552308
12	0.4276713606
13	0.4235791421
14	0.4196623358
15	0.4042289242
16	0.3980426335
17	0.3964929868
18	0.3865242371
19	0.3837336998
20	0.3799461788
21	0.3726863
22	0.3703146666
23	0.3589697999
24	0.3570158988
25	0.3549229631
26	0.3534773448
27	0.3501523728
28	0.349515104
29	0.3478800653
30	0.3471644059
31	0.3467899736
32	0.3461137504
33	0.345279136
34	0.345275252
35	0.3439938293
36	0.343991863
37	0.3433925089
38	0.342065318
39	0.342064413
40	0.3407486592
41	0.3399806908
42	0.3383891805
43	0.3375604368
44	0.3353873989
45	0.3350462765
46	0.3350460648
47	0.3338892119
48	0.3338881521
49	0.3326231408
50	0.3326231407
51	0.3313590588
52	0.3306871285
53	0.3302884278
54	0.3302000298
55	0.3302000291
56	0.3300300476
57	0.3297523751
58	0.3297523751
59	0.3295349627
60	0.3241899398
61	0.3234053498
62	0.3227771129
63	0.3227683402
64	0.3224801417
65	0.3223574064
66	0.3223566858
67	0.3221258214
68	0.3219999509
69	0.3208995162
70	0.3203711807
71	0.3203204587
72	0.3192921858
73	0.3187427915
74	0.3187213514
75	0.3185942718
76	0.3185901703
77	0.3183611624
78	0.3178997778
79	0.3172520574
80	0.3168455807
81	0.3165031824
82	0.3164915964
83	0.3163823008
84	0.3158908487
85	0.3155290305
86	0.314944224
87	0.3149442232
88	0.314883704
89	0.3138107253
90	0.3137050658
91	0.3129832879
92	0.3127956708
93	0.3125726921
94	0.3109948235
95	0.3104634828
96	0.3087469987
97	0.3080368045
98	0.3061125142
99	0.3046018692
100	0.303308783
101	0.3005709227
102	0.3002888225
103	0.2989773728
104	0.2983537041
105	0.2978724708
106	0.2969110575
107	0.2956293714
108	0.2951894881
109	0.2942208629
110	0.2934566732
111	0.2931553498
112	0.2929959161
113	0.2921833931
114	0.2916899457
115	0.2911498126
116	0.2904768445
117	0.2899521975
118	0.2893091562
119	0.2888928945
120	0.2871353818
121	0.2858588909
122	0.2847225095
123	0.2836481696
124	0.2832025227
125	0.2827917376
126	0.2825015511
127	0.2820810994
128	0.2814666353
129	0.2811998951
130	0.2811025188
131	0.2805030677
132	0.2794867207
133	0.2786038212
134	0.2783091875
135	0.2779688702
136	0.2779188428
137	0.2774668362
138	0.2763402774
139	0.275481795
140	0.2750800443
141	0.2743890717
142	0.2737737803
143	0.2734172074
144	0.2733579488
145	0.2728731596
146	0.2728272376
147	0.2727630998
148	0.2725410557
149	0.2720377414
150	0.2715551395
151	0.2715002353
152	0.2712633895
153	0.2706178448
154	0.2705546394
155	0.2696130828
156	0.2693599457
157	0.2693248172
158	0.268645454
159	0.2683118892
160	0.2682764562
161	0.2676495962
162	0.2673267451
163	0.2672864147
164	0.2672431763
165	0.2672180551
166	0.2668639905
167	0.2664288152
168	0.2663979499
169	0.2658249019
170	0.2657203505
171	0.2652078233
172	0.264995263
173	0.2649755977
174	0.2641209966
175	0.2640999534
176	0.2638951522
177	0.2638634911
178	0.2637090857
179	0.2631877727
180	0.2629336063
181	0.262118011
182	0.2618988693
183	0.2618798536
184	0.26126
185	0.2609954766
186	0.2609404787
187	0.2603494445
188	0.2598775477
189	0.2595199087
190	0.2590509832
191	0.2590155293
192	0.2589662095
193	0.2585439824
194	0.2583084742
195	0.2580858332
196	0.2578743512
197	0.257729984
198	0.2576107423
199	0.2573187823
200	0.2568314287
201	0.2564714113
202	0.2563543462
203	0.2560708684
204	0.2555141146
205	0.2553685957
206	0.2549775822
207	0.2548559138
208	0.2542864191
209	0.2541593192
210	0.2541346366
211	0.2538797799
212	0.2538499414
213	0.2531564617
214	0.2528316165
215	0.2527061703
216	0.2522594923
217	0.2519385545
218	0.2512959397
219	0.2510101519
220	0.250667312
221	0.2504272888
222	0.2501596006
223	0.2500046555
224	0.2494628824
225	0.2490827278
226	0.2489366957
227	0.2484614497
228	0.2482758613
229	0.2478849838
230	0.2477826761
231	0.2473648816
232	0.2472397665
233	0.2470990022
234	0.2469323178
235	0.2466407529
236	0.2462864421
237	0.2462306149
238	0.2458869703
239	0.2458680669
240	0.2456115986
241	0.245586427
242	0.2454557525
243	0.245124408
244	0.2447630408
245	0.2445913624
246	0.2443677442
247	0.2438096259
248	0.2435358
249	0.2434078426
250	0.2433099038
251	0.2429511356
252	0.2426108104
253	0.2423009417
